Site ID,Reference image,Status,CRISM?,Latitude,Longitude,Downhill ,Expanded craters,Scalloped Depressions,Pits,Lineations,Notes
South Candidate 18,ESP_066170_1210,P,x,-58.8,80.6,X,N,Y,N,N,Subset of a larger scarp with a ragged morphology. ESP_066170_1210 does not cover the scarp in color. 
South Scarp Site 19,ESP_065853_1190,C,x,-60.8,92.1,SW,N,N,N,N,Two scarps. 
South Scarp Site 20,ESP_066196_1200,CM,x,-59.9,91.8,S,N,N,Y,N,x
South Scarp Site 21,ESP_066552_1215,C,x,-58,93.4,W,N,Possible,Y,N,Small outlier in vicinity of South Scarp 3 but on an adjacent hill. 
South Scarp Site 22,ESP_066037_1295,C,x,-50.1,106.6,SW,Y,N,N,N,Scarp appears to have retreated obliquely. 
South Scarp Site 23,ESP_066169_1255,CM,x,-54.4,105.8,S,Possible,N,Y,N,x
South Candidate 24,ESP_065894_1230,L,x,-56.7,51.3,X,Possible,Y,N,N,"Small scale, and morphology not very clean."
North Scarp Site 1,ESP_024943_2345; ESP_045290_2350; ESP_052529_2345; ESP_053241_2345; ESP_061048_2340; ESP_061681_2345,C,Multiple,54.1,212.1,E,Y,Possible,Y,N,Western Milankovic crater. Numerous scarps. Some CRISM detections could be frost. 
North Scarp Site 2,ESP_053175_2350; ESP_061127_2345; F01_035993_2349_XN_54N145W,C,x,54.8,214.5,X,Y,N,Y,N,Eastern Milankovic crater. Numerous scarps. 
North Scarp Site 3,ESP_053452_2340,C,x,53.7,212.8,N,Y,N,Y,N,Southern Milankovic crater. CRISM FRS00046271_01_IF167S shows IRR1 parameter signature but not confirmed ice. 
North Scarp Site 4,ESP_017563_2375,CM,HRL00018499_07_IF184L,57,95.7,X,N,N,Y,N,CRISM ice signature despite lack of coloration. See also Harish et al. (2020). 
North Scarp Site 5,ESP_026959_2355; ESP_035174_2355; ESP_062708_2355,C,FRT0002498F_07_IF167L,55.3,253.6,N to E,N,N,Y,N,Icy crater nearby. See also Harish et al. (2020).
North Scarp Site 6,ESP_062762_2370,CM,FRS00038D08_01_IF167S,56.9,216.9,N,N,Possible,Y,N,Multiple small scarps. 
North Scarp Site 7,ESP_062776_2370,CM,HRL0000A299_07_IF185L,56.7,195.8,X,N,N,Y,Y,Multiple small scarps. Barely meets standards for CM; there are a couple of minor blue patches on the largest scarp. 
North Scarp Site 8,ESP_063262_2390,C,x,58.6,244.5,N,N,N,Y,N,x
North Candidate Scarp 9,P04_002461_2347_XI_54N147W and P17_007577_2348_XN_54N146W,P,x,55.2,212.8,S,Y,Y,Y,Possible,Northern Milankovic crater. 
North Candidate Scarp 10,ESP_026644_2355,P,x,55.5,213.7,N,Y,Possible,Y,N,Outside rim of Milankovic crater; scarp is outside HiRISE color swath. 
